account,symbol,execution_price,size_tokens,size_usd,side,timestamp_ist,start_position,direction,closed_pnl,Transaction Hash,Order ID,Crossed,fee,Trade ID,timestamp,date
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,BTC,93811.0,0.00015,14.07,BUY,2025-04-23 19:09:00,-2.40322,Close Short,-0.09321,0x40cc030b04bc8c7f58b3042219544a0205c400004b03ec51860d9797d4729b48,88310826888,True,0.004221,629000000000000.0,1750000000000.0,2025-04-23
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,@107,33.1,29.68,982.41,BUY,2024-12-21 19:52:00,17835.46176,Buy,0.0,0x66ef9d905fbdd5ae2f120419c0407402017f0095644095c5b91755a83cac3425,57403269261,False,0.00148398,476000000000000.0,1730000000000.0,2024-12-21
0x4f93fead39b70a1824f981a54d4e55b278e9f760,ETH,2415.9,4.4059,10644.21,BUY,2024-05-08 20:22:00,20.9732,Open Long,0.0,0x3b07b4cafd9a78baba45040ebb6aa8020137002c13bd0229017730b157ea77b7,32748382804,True,3.725474,679000000000000.0,1720000000000.0,2024-05-08
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,@107,18.858,43.67,823.53,BUY,2025-04-23 06:47:00,1674.102147,Buy,0.0,0x676ac4c4fe70f4ea7d4a042210d66602019000772da9b456f113285bf2ab083a,88162718356,False,0.00436695,938000000000000.0,1750000000000.0,2025-04-23
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,ENA,0.43984,1137.0,500.1,BUY,2025-07-03 23:21:00,4787.0,Open Long,0.0,0x933ecd6a99ca3614e473041f18e67a02023a00bc2c15424ce40849781d3ca2d0,78010443633,True,0.175034,1070000000000000.0,1740000000000.0,2025-07-03
