date,trades_count,pnl_sum,pnl_mean,pnl_median,win_count,avg_size_usd,avg_fee,win_rate
2023-01-05,3,0.0,0.0,0.0,0,159.0,0.0,0.0
2023-05-12,9,0.0,0.0,0.0,0,5556.203333333334,1.3890505555555555,0.0
2023-12-14,11,-205.43473700000007,-18.675885181818188,0.0,4,10291.213636363636,2.5728028181818186,0.36363636363636365
2023-12-15,2,-24.632033999999997,-12.316016999999999,-12.316016999999999,0,5304.975,1.3262445,0.0
2023-12-16,3,0.0,0.0,0.0,0,5116.256666666667,1.279063,0.0
2023-12-17,14,304.982785,21.78448464285714,0.02676,7,8305.572857142857,2.076392785714286,0.5
2023-12-18,2,0.0,0.0,0.0,0,15582.089999999998,3.8955225,0.0
2023-12-19,15,1000.5386120000001,66.70257413333334,4.502567,10,6106.827333333334,1.5267064,0.6666666666666666
2023-12-20,18,162.732282,9.040682333333333,0.0,8,7868.710555555556,1.9671770555555557,0.4444444444444444
2023-12-21,49,537.211402,10.963498000000001,0.032592,26,2555.795306122449,0.6389483469387754,0.5306122448979592
2023-12-22,10,141.832675,14.1832675,0.0,2,8887.428,2.2218566,0.2
2023-12-23,13,146.936704,11.302823384615383,10.836504,8,6033.711538461538,1.5084273076923078,0.6153846153846154
2023-12-24,39,1008.619956,25.862050153846155,0.0,15,10332.177948717948,2.5830439743589744,0.38461538461538464
2023-12-25,3,-245.081348,-81.69378266666666,0.0,0,19982.836666666666,4.995708333333333,0.0
2023-12-27,28,-704.8892269999999,-25.174615249999995,0.0,4,6121.823571428571,1.53045525,0.14285714285714285
2023-12-28,23,-970.730876,-42.20569026086957,-13.250952,0,4352.923913043478,1.0882304347826086,0.0
2023-12-29,50,508.92214299999995,10.178442859999999,0.0,15,11391.1944,2.8477980200000004,0.3
2023-12-30,52,354.998648,6.826897076923077,0.0,23,13510.58096153846,3.377644730769231,0.4423076923076923
2024-01-01,18,-129.53146,-7.196192222222223,0.0,1,14679.973888888888,3.6699926111111107,0.05555555555555555
2024-01-02,6,0.0,0.0,0.0,0,334.69666666666666,0.08367399999999998,0.0
2024-01-03,137,8244.241409,60.176944591240876,27.04384,128,3452.370072992701,-0.00399163503649635,0.9343065693430657
2024-01-04,77,2507.963406,32.57095332467532,0.54675,42,4408.7074025974025,1.087680025974026,0.5454545454545454
2024-01-05,14,0.0,0.0,0.0,0,6216.103571428571,2.175636285714286,0.0
2024-01-06,25,91.510419,3.66041676,0.0,9,513.3848,0.17968424,0.36
2024-01-07,64,5065.839308,79.1537391875,0.0,26,5666.721093749999,6.645672265625,0.40625
2024-01-08,57,167.080017,2.9312283684210527,0.0,4,3996.044385964912,1.8964041403508771,0.07017543859649122
2024-01-09,12,137.433093,11.452757750000002,0.0,5,1029.9733333333334,0.36048841666666664,0.4166666666666667
2024-01-10,4,0.0,0.0,0.0,0,34988.58,12.2460025,0.0
2024-01-11,23,1040.475736,45.238075478260875,0.0,6,11347.001304347827,3.941516304347826,0.2608695652173913
2024-01-12,416,40886.364494,98.28453003365385,0.5600160000000001,221,1958.441875,0.5898647869711539,0.53125
2024-01-15,14,152.85358,10.918112857142857,2.4946450000000002,9,3616.8642857142854,0.9037651428571428,0.6428571428571429
2024-01-16,9,-2299.171458,-255.4634953333333,0.0,3,12936.37,1.9243676666666667,0.3333333333333333
2024-01-17,53,813.2741110000001,15.344794547169812,0.0,11,15110.019433962265,3.0133510566037733,0.20754716981132076
2024-01-18,46,68.93319,1.4985476086956522,0.0,3,9231.120217391304,2.014302195652174,0.06521739130434782
2024-01-19,48,-385.419235,-8.029567395833334,0.0,6,8925.603541666665,1.9385805833333334,0.125
2024-01-20,106,-146.57487000000003,-1.3827817924528305,0.0,15,10095.193490566038,2.5237979528301886,0.14150943396226415
2024-01-21,11,266.58114600000005,24.234649636363642,0.0,3,9375.43090909091,2.343857272727273,0.2727272727272727
2024-01-22,85,1375.640959,16.18401128235294,0.0,23,3975.0469411764707,0.7938619764705882,0.27058823529411763
2024-01-23,45,-369.2447299999998,-8.20543844444444,0.0,11,9211.531777777778,1.9049904444444445,0.24444444444444444
2024-01-24,68,-2808.353815,-41.29932080882353,0.0,10,14192.42044117647,3.3495749264705883,0.14705882352941177
2024-01-25,6,-3093.6293849999997,-515.6048975,-481.44219250000003,0,11094.355000000001,2.773588666666667,0.0
2024-01-26,5,90.2,18.04,0.0,1,2354.642,0.088847,0.2
2024-01-28,11,-2478.06972,-225.27906545454545,-68.216526,0,1646.2754545454545,-0.03292509090909091,0.0
2024-01-29,74,486.562542,6.5751694864864865,0.0479375,45,5597.407837837838,1.395440608108108,0.6081081081081081
2024-01-30,49,-173.65419100000003,-3.5439630816326537,0.0,5,8183.905714285715,2.045975714285714,0.10204081632653061
2024-01-31,859,-799.840817,-0.93113017112922,0.0,231,7340.683504074505,1.8037386204889407,0.2689173457508731
2024-02-01,17,783.979116,46.11641858823529,0.0,8,7138.1611764705885,1.7845397647058823,0.47058823529411764
2024-02-02,42,456.423473,10.867225547619048,0.0,13,11292.343571428572,2.1802294285714288,0.30952380952380953
2024-02-03,31,230.90060000000005,7.448406451612905,1.3124,21,2038.6309677419354,-0.0151331935483871,0.6774193548387096
2024-02-04,41,883.760812,21.555141756097562,0.0,12,5845.475853658536,1.9544530243902436,0.2926829268292683
2024-02-06,93,192.906947,2.074268247311828,0.0,34,316.822688172043,0.08379475268817205,0.3655913978494624
